2015-05-26 20:37:20,189 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:37:20,216 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2015-05-26 20:37:20,470 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:37:20,490 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:37:20,495 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:37:20,513 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:37:52,848 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:37:52,888 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:37:52,891 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:37:52,895 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:37:52,898 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:38:44,934 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-26 20:38:52,287 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\tt-orm
2015-05-26 20:38:52,287 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:39:37,651 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.samuk.teamtool:parent:0.0.1-SNAPSHOT @ C:\dev\priva\TeamTool\parent\pom.xml.
2015-05-26 20:39:37,713 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:39:37,809 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:39:37,812 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:39:37,814 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:39:37,819 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:39:51,583 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-05-26 20:39:51,710 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\tt-orm
2015-05-26 20:39:51,713 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:41:00,670 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.samuk.teamtool:parent:0.0.1-SNAPSHOT @ C:\dev\priva\TeamTool\parent\pom.xml.
2015-05-26 20:41:00,745 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:41:00,842 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:41:00,845 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:41:00,849 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:41:00,854 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:41:11,119 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.samuk.teamtool:parent:0.0.1-SNAPSHOT @ C:\dev\priva\TeamTool\parent\pom.xml.
2015-05-26 20:41:11,195 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
2015-05-26 20:41:11,298 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:41:11,301 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\main\resources
2015-05-26 20:41:11,304 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-26 20:41:11,307 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-orm\src\test\resources
2015-05-26 20:41:24,700 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-26 20:41:30,982 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\dev\priva\TeamTool\parent
2015-05-26 20:41:30,982 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B package
2015-05-26 20:42:20,718 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.samuk.teamtool:parent:0.0.1-SNAPSHOT @ C:\dev\priva\TeamTool\parent\pom.xml.
2015-05-26 20:42:20,764 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
